Annotation Specialist,Subjective Impression,OneWord,Song,Performer,Performer2,Performer3,Performer4,Performer5,label,label2,label3,label4,,producer,producer2,producer3,producer4,producer5,producer6,Producer7,Producer8,songwriters,songwriter2,songwriter3,songwriter4,songwriter5,songwriter6,songwriter7,songwriter8,songwriter9,songwriter10,songwriter11,songwriter12,songwriter13,songwriter14,songwriter15,songwriter16,songwriter17,songwriter18,songwriter19,songwriter20,songwriter21,songwriter22,songwriter23,songwriter24,songwriter25,songwriter26,songwriter27,songwriter28,songwriter29,songwriter30
Elijah,"Heard it a million times, it's a vibe ",Rips,Drift Away,Uncle Kracker,Dobie Gray,,,,ABC,,,,,Steve Barri,Dan Walsh,Harvey Price,,,,,,Mentor Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elijah,"The track itself is good, the lyrics almost made me say doesn't rip",Rips,I Don't F**k With You,Big Sean,E-40,,,,Good,Def Jam,,,,DJ Mustard,West,Mike Free,Key Wane,,,,,Sean Anderson,Kanye West,Dijon McFarlane,Mikely Adam,Willie Hansbro,Dacoury Natche,Dwane Weir II,Earl Stevens,D.J. Rogers,,,,,,,,,,,,,,,,,,,,,
Elijah,Far too repetive chorus,doesn't rip,Get Low,Waka Flocka Flame,Flo Rida,Nicki Minaj,Tyga,,1017 Brick Squad,Brick Squad Monopoly,Asylum,Warner Bros.,,DJ Speedy,Breyan Issac,,,,,,,Juaquin Malphurs,Onika Maraj,Michael Stevenson,Tramar Dillard,Harvey Miller,,,,,,,,,,,,,,,,,,,,,,,,,
Elijah,It is interesting how much louder the bass is than the vocals in the verses,Rips,I Like That,Houston,I-20,Chingy,Nate Dogg,,Capitol,,,,,The Trak Starz,,,,,,,,Houston Summers,Alonzo Lee,Shamar Daugherty,Mischke Butler,Howie Bailey,Nathaniel Hale,Bobby Sandimanie,Steve Prudholme,,,,,,,,,,,,,,,,,,,,,,
Elijah,Very Dancy,Rips,Move Ya Body,Nina Sky,Jabba,,,,Universal,Next Plateau,,,,Elijah Wells,Lionel Bermingham,,,,,,,Nicole Albino,Natalie Albino,Cordel Burrell,Luis Diaz,Paul George,Curtis Bedeau,Gerald Charles,Brian George,Elijah Wells,Lionel Bermingham,,,,,,,,,,,,,,,,,,,,
Elijah,Tasteful acoustic guitar in the background,Rips,My Place,Nelly,Jaheim,,,,Universal,Derrty,Fo' Reel,,,Doe Mo' Beats,,,,,,,,Nelly,Dorian Moore,Randy Edelman,El DeBarge,William DeBarge,Etterlene DeBarge,Kenneth Gamble,Leon Huff,,,,,,,,,,,,,,,,,,,,,,
Elijah,"The autotune sucks and it sounds like a youtube intro, add some low quality bit crush and you'd be there",Doesn't rip,Don't You Worry Child,Swedish House Mafia,John Martin,,,,Virgin,Astralwerks,Polydor,,,Swedish House Mafia,,,,,,,,Axel Hedfors,Steve Angello,Sebastian Ingrosso,John Martin Lindström,Michel Zitron,,,,,,,,,,,,,,,,,,,,,,,,,
Elijah,This song feels sonically empty for most of it and the deep reverb moaning is annoying,Doesn't rip,F**kin Problems,A$AP Rocky,Kendrick Lamar,Drake,2 Chainz,,A$AP Worldwide,Polo Grounds,RCA,,,"Noah ""40"" Shebib",C Papi,,,,,,,Rakim Mayers,Aubrey Graham,Noah Shebib,Kendrick Duckworth,Tauheed Epps,Stephen Garrett,,,,,,,,,,,,,,,,,,,,,,,,
Elijah,A good vibe,Rips,I Need A Girl (Part One),P. Diddy,Loon,Usher,,,Bad Boy,Arista,,,,Mario Winans,Sean Combs,,,,,,,Sean Combs,Chauncey Hawkins,Mario Winans,Michael Carlos Jones,Adonis Shropshire,Jack Knight,,,,,,,,,,,,,,,,,,,,,,,,
Elijah,"This is just a bop overall, especially the sample. The album plug at the end is wild",Rips,Gossip Folks,"Missy ""Misdemeanor"" Elliott",Ludacris,,,,The Goldmind Inc,Elekta,,,,Timbaland,,,,,,,,Missy Elliott,Tim Mosley,Christopher Bridges,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elijah,The bassline is fucking killer,Rips,I'm Gonna Be Alright,Jennifer Lopez,Nas,,,,Epic,,,,,Trackmasters,Cory Rooney,,,,,,,Jennifer Lopez,Cory Rooney,Troy Oliver,Lorraine Cheryl Cook,Ronald LaPread,Jean-Claude Olivier,Samuel Barnes,Nasir Jones,Anthony O'Brian,Anthony Wright,Nathaniel Chase,Sylvia Robinson,Denzil Foster,Thomas McElroy,Jay King,Curtis Jackson,,,,,,,,,,,,,,
Elijah,It's fine,Doesn't rip,Lady Marmalade,Christina Aguilera,P!nk,Lil' Kim,Mya,,Epic,,,,,Allen Toussaint,Vicki Wickham,,,,,,,Bob Crewe,Kenny Nolan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elijah,Thoroughly enjoyed this,Rips,I Don't Wanna Know,Mario Winans,P. Diddy,Enya,,,Bad Boy,,,,,Mario Winans,,,,,,,,Mario Winans,Enya,Nicky Ryan,Roma Ryan,Lo Down,Chauncey Hawkins,Erick Sermon,Parrish Smith,,,,,,,,,,,,,,,,,,,,,,
Elijah,Catchy as hell,Rips,Kiss Me Thru The Phone,Soulja Boy Tell 'em,Sammie,,,,Stacks on Deck,Collipark,HHH,Interscope,,Jim Jonsin,,,,,,,,DeAndre Way,James Scheffer,David Siege,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elijah,It's catchy but I didn't care much for it,Doesn't rip,Holidae In,Chingy,Snoop Dogg,Ludacris,,,Disturbing tha Peace,Capitol,,,,The Trak Starz,,,,,,,,Alonzo Lee,Shamar Daugherty,"Howard Bailey, Jr",Chris Bridges,,,,,,,,,,,,,,,,,,,,,,,,,,
Elijah,Good slow jam,Rips,My Love Is The Shhh!,Somethin' For The People,Tamara,Trina,,,Warner Bros.,,,,,Somethin' for the People,,,,,,,,"Curtis ""Sauce"" Wilson",Roshad Holiday,"Jeff ""Fuzzy"" Young",Tamara Powell,James Baker,Melvin Young,,,,,,,,,,,,,,,,,,,,,,,,
Elijah,The crazy train quote is cringe,Doesn't rip,Let's Go,Trick Daddy,Twista,Lil Jon,,,Atlantic,Slip-n-Slide,,,,Jim Jonsin,Bigg D,,,,,,,B. Daisley,M. Marshall,R. Rhoads,J. Scheffer,J. Smith,M. Young,C. Young,,,,,,,,,,,,,,,,,,,,,,,
Elijah,Not all that interesting,Doesn't rip,Down 4 U,Irv Gotti Presents The Inc.,Vita,Ja Rule,Ashanti,Charli Baltimore ,Murder Inc,Def Jam,,,,Irv Gotti,7 Aurelius,,,,,,,Jeffery Atkins,7 Aurelius,Irving Lorenzo,Ashanti Douglas,Tiffany Lane,LaVita Raynor,Larry Troutman,Roger Troutman,,,,,,,,,,,,,,,,,,,,,,
Elijah,Fun party song,Rips,Mi Gente,J Balvin,Willy William,Beyonce,,,Scorpio,Universal Latin,,,,Willy William,,,,,,,,José Osorio,Willy William,Adam Assad,Andrés David Restrepo,Mohombi Nzasi Moupondo,,,,,,,,,,,,,,,,,,,,,,,,,
Elijah,"Pretty enjoyable, good swell at the end",Rips,Good For Me,Amy Grant,,,,,A&M,,,,,Keith Thomas,,,,,,,,Amy Grant,Tom Snow,Jay Gruska,Wayne Kirkpatrick,,,,,,,,,,,,,,,,,,,,,,,,,,
Elijah,,,I Wanna Love You Forever,Jessica Simpson,,,,,Columbia,,,,,Louis Biancaniello,Sam Watters,,,,,,,Louis Biancaniello,Sam Watters,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elijah,,,Fill Me In,Craig David,,,,,Wildstar,,,,,Mark Hill,,,,,,,,Craig David,Mark Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elijah,,Rips,Get The Party Started,P!nk,,,,,LaFace,Arista,,,,Linda Perry,,,,,,,,Linda Perry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elijah,,,How To Love,Lil Wayne,,,,,Young Money,Cash Money,Universal Republic,,,Drum Up,Detail,,,,,,,"Dwayne Carter, Jr.",Marcus Boyd,LaMar Seymour,LaNelle Seymour,Jermaine Preyan,Noel Fisher,,,,,,,,,,,,,,,,,,,,,,,,
Elijah,,,I'm Not The Only One,Sam Smith,,,,,Capitol,,,,,Jimmy Napes,Steve Fitzmaurice,,,,,,,Sam Smith,James Napier,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elijah,,Rips,Macarena (Bayside Boys Mix),Los Del Rio,,,,,RCA,,,,,Los del Río,,,,,,,,Rafael Ruiz Perdigones,Antonio Romero Monge,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elijah,,,Everything You Want,Vertical Horizon,,,,,RCA,BMG,,,,Mark Endert,Ben Grosse,,,,,,,Matthew Scannell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elijah,,Rips,My Immortal,Evanescence,,,,,Wind-up,,,,,Dave Fortman,Moody,,,,,,,Amy Lee,Ben Moody,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elijah,,Rips,My Happy Ending,Avril Lavigne,,,,,Arista,RCA,,,,Butch Walker,,,,,,,,Avril Lavigne,Butch Walker,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elijah,,,Give Your Heart A Break,Demi Lovato,,,,,Hollywood,,,,,Alexander,Steinberg,,,,,,,Josh Alexander,Billy Steinberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elijah,,,I Knew I Loved You,Savage Garden,,,,,Roadshow,Columbia,,,,Daniel Jones,Darren Hayes,Walter Afanasieff,,,,,,Daniel Jones,Darren Hayes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elijah,,,No One,Alicia Keys,,,,,J,,,,,Alicia Keys,"Kerry ""Krucial"" Brothers",,,,,,,Alicia Keys,Kerry Brothers Jr.,George M. Harry,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elijah,,,Last Kiss,Taylor Swift,,,,,Big Machine,,,,,Taylor Swift,Nathan Chapman,,,,,,,Taylor Swift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elijah,,Doesn't rip,Ice Ice Baby,Vanilla Ice,,,,,SBK,,,,,Vanilla Ice,,,,,,,,Robert Van Winkle,Mario Johnson,Brian May,David Bowie,Freddie Mercury,John Deacon,Roger Taylor,,,,,,,,,,,,,,,,,,,,,,,
Elijah,,,I Swear,All-4-One,,,,,Atlantic Nashville,,,,,Scott Hendricks,,,,,,,,Gary Baker,Frank J. Myers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elijah,,Rips,I Want It That Way,Backstreet Boys,,,,,Jive,,,,,Kristian Lundin,Max Martin,,,,,,,Andreas Carlsson,Max Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elijah,,,Follow Me,Uncle Kracker,,,,,Lava,Atlantic,Top Dog,,,Kid Rock,Michael Bradford,,,,,,,Matthew Shafer,Michael Bradford,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elijah,,,In Those Jeans,Ginuwine,,,,,Epic,,,,,"Jerry ""Juke"" Vines","Harvey ""The Rook"" Hester (co.)",Ginuwine (co.),,,,,,Elgin Lumpkin,Harvey Hester,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elijah,,,Far Away,Nickelback,,,,,Roadrunner,,,,,Nickelback,,,,,,,,Chad Kroeger,Ryan Peake,Mike Kroeger,Daniel Adair,,,,,,,,,,,,,,,,,,,,,,,,,,
Elijah,,Rips,Need You Now,Glee Cast,,,,,Capitol Nashville,,,,,Lady A,Paul Worley,,,,,,,Hillary Scott,Charles Kelley,Dave Haywood,Josh Kear,,,,,,,,,,,,,,,,,,,,,,,,,,
Elijah,,,Love Takes Time,Mariah Carey,,,,,Columbia,,,,,Walter Afanasieff,,,,,,,,Mariah Carey,Ben Margulies,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elijah,,,How You Gonna Act Like That,Tyrese,,,,,J,,,,,The Underdogs,,,,,,,,Tyrese Gibson,Harvey Mason Jr.,Damon Thomas,Eric Dawkins,,,,,,,,,,,,,,,,,,,,,,,,,,
Elijah,,,I Don't Want To Be,Gavin DeGraw,,,,,J,,,,,Mark Endert,,,,,,,,Gavin DeGraw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elijah,,,I Wanna Go,Britney Spears,,,,,Jive,,,,,Max Martin,Shellback,,,,,,,Max Martin,Savan Kotecha,Shellback,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elijah,,,Gonna Make You Sweat (Everybody Dance Now),C+C Music Factory,,,,,Columbia,,,,,Robert Clivillés,David Cole,,,,,,,Robert Clivillés,Fredrick B. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elijah,,,Make It Happen,Mariah Carey,,,,,Columbia,,,,,David Cole,Robert Clivillés,Mariah Carey,,,,,,Mariah Carey,David Cole,Robert Clivilés,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elijah,,,"Jumpin', Jumpin'",Destiny's Child,,,,,Columbia,,,,,Beyoncé Knowles,Chad Elliott,Jovonn Alexander,,,,,,Rufus Moore,Chad Elliott,Beyoncé Knowles,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elijah,,,Low,Kelly Clarkson,,,,,RCA,,,,,Clif Magness,,,,,,,,Jimmy Harry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elijah,,,Mockingbird,Eminem,,,,,Aftermath,Shady,Interscope,,,Eminem,Luis Resto,,,,,,,Marshall Mathers,Luis Resto,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elijah,,Rips,Feel Good Inc.,Gorillaz,,,,,Parlophone,Virgin,,,,Gorillaz,Danger Mouse,Jason Cox,James Dring,,,,,Damon Albarn,David Jolicoeur,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elijah,,Rips,Everybody Talks,Neon Trees,,,,,Mercury,Def Jam,,,,Justin Meldal-Johnsen,,,,,,,,Tyler Glenn,Tim Pagnotta,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elijah,,,Lucid Dreams,Juice WRLD,,,,,Grade A,Interscope,,,,Nick Mira,,,,,,,,Higgins,Nick Mira,Dominic Miller,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elijah,,,From A Distance,Bette Midler,,,,,MCA,,,,,Tony Brown,Nancy Griffith,,,,,,,Julie Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elijah,,,Fantastic Voyage,Coolio,,,,,Tommy Boy,,,,,Bryan Wino Dobbs,,,,,,,,Norman Beavers,Marvin Craig,Bryan Wino Dobbs,Artis Ivey Jr.,Fred Alexander Jr.,Mark Adam Wood Jr.,Tiemeyer McCain,Thomas Oliver Shelby,Stephen Shockley,Otis Stokes,,,,,,,,,,,,,,,,,,,,
Elijah,,,Every Morning,Sugar Ray,,,,,Atlantic,Lava,,,,David Kahne,,,,,,,,Sugar Ray,David Kahne,Richard Bean,Abel Zarate,Pablo Tellez,,,,,,,,,,,,,,,,,,,,,,,,,
Elijah,,Rips,How You Remind Me,Nickelback,,,,,Roadrunner,,,,,Rick Parashar,Nickelback,,,,,,,Nickleback,Chad Kroger,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eric,Overall a good bop,Rips,One Sweet Day,Mariah Carey,Boyz II Men,,,,Columbia,,,,,Walter Afanasieff,Mariah Carey,,,,,,,Mariah Carey,Walter Afanasieff:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eric,Pretty catchy ,Rips,Please Me,Cardi B,Bruno Mars,,,,Atlantic,,,,,Bruno Mars,The Stereotypes,,,,,,,Belcalis Almanzar,Bruno Mars,James Fauntleroy,Jonathan Yip,Ray Romulus,Jeremy Reeves,Ray McCullough II,,,,,,,,,,,,,,,,,,,,,,,
Eric,Overated and slow,doesn't rip,Senorita,Shawn Mendes,Camila Cabello,,,,Island,,,,,Andrew Watt,Benny Blanco,Cashmere Cat,,,,,,Andrew Wotman,Benjamin Levin,Alexandra Tamposi,Charlotte Aitchison,Jack Patterson,Magnus August Høiberg,,,,,,,,,,,,,,,,,,,,,,,,
Eric,Pretty catchy ,Rips,"10,000 Hours",Dan + Shay,Justin Bieber,,,,Warner Nashville,,,,,Dan Smyers,,,,,,,,Dan Smyers,Shay Mooney,Justin Bieber,Jason Boyd,Jessie Jo Dillon,Jordan Reynolds,,,,,,,,,,,,,,,,,,,,,,,,
Eric,Good vocals and lyrics,Rips,Pray For Me,The Weeknd,Kendrick Lamar,,,,Top Dawg,Aftermath,Interscope,,,Doc McKinney,Frank Dukes,,,,,,,Abel Tesfaye,Kendrick Lamar Duckworth,Adam Feeney,Jason Quenneville,Martin McKinney,,,,,,,,,,,,,,,,,,,,,,,,,
Eric,Not that bad but still not the best,doesn't rip,Cold Water,Major Lazer,MO,Justin Bieber,,,Mad Decent,Def Jam,,,,Major Lazer,Benny Blanco,King Henry,Jr Blender,,,,,Thomas Pentz,Justin Bieber,Karen Marie Ørsted,Benjamin Levin,Henry Allen,Philip Meckseper,Ed Sheeran,Jamie Scott,,,,,,,,,,,,,,,,,,,,,,
Eric,Extremely catchy and bops ,Rips,Bang Bang,Jessie J,Nicki Minaj, Ariana Grande ,,,Lava,Republic,,,,Max Martin,Rickard Göransson,Ilya,,,,,,Max Martin,Savan Kotecha,Rickard Göransson,Onika Maraj,Ariana Grande,,,,,,,,,,,,,,,,,,,,,,,,,
Eric,Classic,Rips,Candle In The Wind 1997/Something About The Way You Look Tonight,Elton John,,,,,Mercury,Rocket,,,,Chris Thomas,,,,,,,,Elton John,Bernie Taupin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eric,Not a fan,doesn't rip,3,Britney Spears,,,,,Jive,,,,,Max Martin,Shellback,,,,,,,Max Martin,Dr. Luke,Rami Yacoub,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eric,Classic ,Rips,Born This Way,Lady Gaga,,,,,Streamline,KonLive,Interscope,,,Lady Gaga,Fernando Garibay,Jeppe Laursen,DJ White Shadow,,,,,Stefani Germanotta,Jeppe Laursen,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eric,Pretty catchy ,Rips,Part Of Me,Katy Perry,,,,,Capitol,,,,,Dr. Luke,Max Martin,Cirkut,,,,,,Katy Perry,Lukasz Gottwald,Max Martin,Bonnie McKee,,,,,,,,,,,,,,,,,,,,,,,,,,
Eric,Very repetive ,doesn't rip,Shake It Off,Taylor Swift,,,,,Big Machine,,,,,Max Martin,Shellback,,,,,,,Taylor Swift,Max Martin,Shellback,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eric,Just not a fan,doesn't rip,Pillowtalk,Zayn,,,,,RCA,,,,,Levi Lennox,,,,,,,,Zayn Malik,Levi Lennox,Anthony Hannides,Michael Hannides,Joe Garrett,,,,,,,,,,,,,,,,,,,,,,,,,
Eric,Good vocals,Rips,Can't Stop The Feeling!,Justin Timberlake,,,,,RCA,,,,,Timberlake,Martin,Shellback,,,,,,Justin Timberlake,Max Martin,Shellback,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eric,Great Lyrics and it bops,Rips,Shape Of You,Ed Sheeran,,,,,Asylum,Atlantic,,,,Ed Sheeran,Steve Mac,,,,,,,Ed Sheeran,Johnny McDaid,Kandi Burruss,"Kevin ""She'kspere"" Briggs",Steve Mac,Tameka Cottle,,,,,,,,,,,,,,,,,,,,,,,,
Eric,Lyrics are good and its catchy,Rips,"Thank U, Next",Ariana Grande,,,,,Republic,,,,,Tommy Brown,Social House,,,,,,,Ariana Grande,Tayla Parx,Victoria Monét,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eric,Lyrics are not bad but not as catchy,doesn't rip,7 Rings,Ariana Grande,,,,,Republic,,,,,Tommy Brown,Charles Anderson,Michael Foster,,,,,,Ariana Grande,Victoria Monét,Tayla Parx,Tommy Brown,Charles Anderson,Michael Foster,Njomza Vitia,Kimberly Krysiuk,Richard Rodgers,Oscar Hammerstein II,,,,,,,,,,,,,,,,,,,,
Eric,Pretty catchy ,Rips,Sucker,Jonas Brothers,,,,,Republic,,,,,Ryan Tedder,,,,,,,,Ryan Tedder,Louis Bell,Mustafa Ahmed,Adam Feeney,Homer Steinweiss,Nicholas Jonas,Joseph Jonas,Kevin Jonas II,,,,,,,,,,,,,,,,,,,,,,
Eric,Not a fan,doesn't rip,Always Be My Baby,Mariah Carey,,,,,Columbia,,,,,Mariah Carey,Jermaine Dupri,,,,,,,Mariah Carey,Jermaine Dupri,Manuel Seal,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eric,Bops and catchy,Rips,Tha Crossroads,Bone Thugs-N-Harmony,,,,,Ruthless,,,,,Tim Middleton,,,,,,,,Bone,Tim Middleton,Tony-C,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eric,Banger,Rips,4 Seasons Of Loneliness,Boyz II Men,,,,,Motown,,,,,Jimmy Jam and Terry Lewis,,,,,,,,James Harris III,Terry Lewis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eric,Just overall doesnt rip,doesn't rip,Crush,David Archuleta,,,,,Jive,,,,,Emanuel Kiriakou,,,,,,,,Jess Cates,David Hodges,Emanuel Kiriakou,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eric,Its a bop,Rips,Party In The U.S.A.,Miley Cyrus,,,,,Hollywood,,,,,Dr. Luke,,,,,,,,Lukasz Gottwald,Jessica Cornish,Claude Kelly,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eric,Bops and catchy,Rips,California Gurls,Katy Perry,Snoop Dogg,,,,Capitol,,,,,Dr. Luke,Benny Blanco,Max Martin,,,,,,Katy Perry,Lukasz Gottwald,Max Martin,Benjamin Levin,Bonnie McKee,Calvin Broadus,,,,,,,,,,,,,,,,,,,,,,,,
Eric,Not too catchy,doesn't rip,Boyfriend,Justin Bieber,,,,,Island,RBMG,Schoolboy,,,Mike Posner,MdL,,,,,,,Mike Posner,Mason Levy,Matthew Musto,Justin Bieber,,,,,,,,,,,,,,,,,,,,,,,,,,
Eric,Overated and bland ,doesn't rip,Sorry,Justin Bieber,,,,,Def Jam,,,,,BloodPop,Skrillex,,,,,,,Justin Bieber,Michael Tucker,Sonny Moore,Justin Tranter,Julia Michaels,,,,,,,,,,,,,,,,,,,,,,,,,
Eric,Banger ,Rips,Rockstar,Post Malone,21 Savage,,,,Republic,,,,,Tank God,Louis Bell,,,,,,,Austin Post,Shayaa Abraham-Joseph,Louis Bell,Olufunmibi Awoshiley,Carl Rosen,Jo-Vaughn Scott,,,,,,,,,,,,,,,,,,,,,,,,
Eric,Absolute Banger,Rips,Psycho,Post Malone,Ty Dolla $ign,,,,Republic,,,,,Post Malone,Louis Bell,,,,,,,Austin Post,Tyrone Griffin,Louis Bell,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eric,"good vocals, well put together and mixed but not my jam I will not be adding to my playlist or listening ever again",Rips,"Break Up With Your Girlfriend, I'm Bored",Ariana Grande,,,,,Republic,,,,,Max Martin,Ilya,,,,,,,Ariana Grande,Max Martin,Ilya Salmanzadeh,Savan Kotecha,Kandi Burruss,Kevin Briggs,,,,,,,,,,,,,,,,,,,,,,,,
Eric,Absolute Banger,Rips,One Week,Barenaked Ladies,,,,,Reprise,,,,,Barenaked Ladies,David Leonard,Susan Rogers,,,,,,Ed Robertson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eric,Just overall doesnt rip,doesn't rip,Circus,Britney Spears,,,,,Jive,,,,,Dr. Luke,Benny Blanco,,,,,,,Lukasz Gottwald,Claude Kelly,Benjamin Levin,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eric,Classic,Rips,Payphone,Maroon 5,Wiz Khalifa,,,,A&M Octone,,,,,Benny Blanco,Shellback,Robopop (add.),,,,,,Adam Levine,Benny Blanco,Ammar Malik,Shellback,Wiz Khalifa,,,,,,,,,,,,,,,,,,,,,,,,,
Eric,Pretty good,Rips,Berzerk,Eminem,,,,,Aftermath,Shady,Interscope,,,Rick Rubin,,,,,,,,Marshall Mathers,William Squier,Adam Horovitz,Adam Yauch,Rick Rubin,Joseph Modeliste,Arthur Neville,Cyril Neville,Leo Nocentelli,George Porter Jr.,Vincent Brown,Anthony Criss,Keir Gist,,,,,,,,,,,,,,,,,
Eric,Iconic,Rips,Problem,Ariana Grande ,Iggy Azalea,,,,Republic,,,,,Martin,Shellback,Ilya,Peter Carlsson,,,,,Max Martin,Savan Kotecha,Ilya Salmanzadeh,Amethyst Kelly,Ariana Grande,,,,,,,,,,,,,,,,,,,,,,,,,
Eric,Banger,Rips,Sicko Mode,Travis Scott,,,,,Cactus Jack,Grand Hustle,Epic,,,Chahayed,Hit-Boy,Oz,Cubeatz,Tay Keith,Dean,,,Jacques Webster II,Aubrey Graham,Khalif Brown,John Hawkins,Chauncey Hollis,Ozan Yildirim,Cydel Young,Tim Gomringer,Kevin Gomringer,Mirsad Dervić,Rogét Chahayed,Brytavious Chambers,Michael Dean,Luther Campbell,Harry Wayne Casey,Richard Finch,Christopher Wallace,Osten Harvey,Bryan Higgins,Trevor Smith,James Jackson,Malik Taylor,Keith Elam,Christopher Martin,Kamaal Fareed,Ali Shaheed Muhammad,Tyrone Taylor,Fred Scruggs,Kirk Jones,Chylow Parker
Eric,Not the best,Doesnt rip,One More Chance/Stay With Me,The Notorious B.I.G.,,,,,Bad Boy,Arista,,,,Sean Combs,Rashad Smith,,,,,,,Christopher Wallace,Sean Combs,Reginald D. Ellis,Norman A. Glover,Carl Thompson,,,,,,,,,,,,,,,,,,,,,,,,,
Eric,Classic,Rips,Say You'll Be There,Spice Girls,,,,,Virgin,,,,,Absolute,,,,,,,,Spice Girls,Eliot Kennedy,Jon B.,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eric,"not my vibe, doesnt Rip",,Baby,Justin Bieber,Ludacris,,,,Island,RBMG,,,,Tricky Stewart,The-Dream,,,,,,,Justin Bieber,"Christopher ""Tricky"" Stewart",Terius Nash,Christopher Bridges,Christina Milian,,,,,,,,,,,,,,,,,,,,,,,,,
Eric,Classic,Rips,24K Magic,Bruno Mars,,,,,Atlantic,,,,,,,,,,,,,Bruno Mars,Philip Lawrence,Christopher Brody Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eric,its a bop,Rips,Don't Cry,Lil Wayne,XXXTENTACION,,,,Young Money,Republic,,,,Ben Billions,Z3N,,,,,,,Dwayne Carter,Jahseh Onfroy,Juan Guerrieri-Maril,Benjamin Diehl,Gamal Lewis,,,,,,,,,,,,,,,,,,,,,,,,,
Eric,Pretty good,Rips,Runaway,Janet Jackson,,,,,A&M,,,,,Janet Jackson,Jimmy Jam and Terry Lewis,,,,,,,Janet Jackson,James Harris III,Terry Lewis,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eric,Not a fan,doesn't rip,2 Become 1,Spice Girls,,,,,Virgin,,,,,Matt Rowe,Richard Stannard,,,,,,,Spice Girls,Matt Rowe,Richard Stannard,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eric,Another classic,Rips,Applause,Lady Gaga,,,,,Streamline,Interscope,,,,Lady Gaga,DJ White Shadow,,,,,,,Stefani Germanotta,Paul Blair,Dino Zisis,Nick Monson,Martin Bresso,Nicolas Mercier,Julien Arias,William Grigahcine,,,,,,,,,,,,,,,,,,,,,,
Eric,Although not my favorite it rips ,Rips,Story Of My Life,One Direction,,,,,,,,,,Julian Bunetta,John Ryan,,,,,,,Julian Bunetta,Tiziano Ferro,Jamie Scott,John Ryan,Louis Tomlinson,Liam Payne,Niall Horan,Harry Styles,Zayn Malik,,,,,,,,,,,,,,,,,,,,,
Eric,Doesnt rip,doesn't rip,Paris,The Chainsmokers,,,,,Disruptor,Columbia,,,,The Chainsmokers,,,,,,,,Andrew Taggart,Kristoffer Eriksson,Fredrik Häggstam,Charlee Nyman,,,,,,,,,,,,,,,,,,,,,,,,,,
